Ticker,Price,Bucket,Decision,Score,Stoploss,Target,RR,RSI,ADX,VolRatio
COALINDIA.NS,453.8,POSITIONAL (>30 days),BUY,79,433.96,513.33,3.0,54.84,24.52,0.32
GRANULES.NS,578.3,POSITIONAL (>30 days),BUY,77,550.28,662.36,3.0,49.85,10.15,0.19
CCL.NS,1065.7,POSITIONAL (>30 days),WATCH,69,1008.35,1237.76,3.0,57.78,16.13,0.31
AUROPHARMA.NS,1274.5,POSITIONAL (>30 days),WATCH,69,1219.1,1440.71,3.0,56.89,13.86,0.32
SUNPHARMA.NS,1762.0,POSITIONAL (>30 days),WATCH,66,1712.16,1911.51,3.0,50.06,20.75,0.19
GLENMARK.NS,2109.8,POSITIONAL (>30 days),WATCH,64,2004.76,2424.91,3.0,49.5,12.63,0.29
LUPIN.NS,2289.2,POSITIONAL (>30 days),WATCH,64,2214.37,2513.7,3.0,51.49,13.46,0.21
POWERGRID.NS,294.5,POSITIONAL (>30 days),WATCH,64,282.76,329.73,3.0,49.29,14.08,0.21
NLCINDIA.NS,254.3,POSITIONAL (>30 days),WATCH,63,237.24,305.47,3.0,47.69,14.63,0.34
ONGC.NS,266.85,POSITIONAL (>30 days),WATCH,61,254.94,302.57,3.0,48.29,25.21,0.4
SUNTV.NS,601.85,SWING (7–30 days),AVOID,59,564.79,661.14,1.6,55.08,15.76,3.94
TATAPOWER.NS,387.6,SWING (7–30 days),AVOID,59,369.81,416.06,1.6,51.91,16.34,0.7
IPCALAB.NS,1508.9,POSITIONAL (>30 days),AVOID,58,1429.46,1747.22,3.0,48.81,18.8,0.16
OIL.NS,469.5,POSITIONAL (>30 days),AVOID,58,443.47,547.6,3.0,48.16,18.43,0.22
NTPC.NS,372.0,POSITIONAL (>30 days),AVOID,56,357.72,414.84,3.0,48.09,17.68,0.16
DRREDDY.NS,1273.7,POSITIONAL (>30 days),AVOID,56,1226.99,1413.83,3.0,47.19,17.86,0.17
LINDEINDIA.NS,6657.0,POSITIONAL (>30 days),AVOID,53,6267.25,7826.26,3.0,46.78,34.28,0.38
ABB.NS,5997.0,POSITIONAL (>30 days),AVOID,53,5699.44,6889.67,3.0,48.66,35.09,0.29
TATASTEEL.NS,187.99,POSITIONAL (>30 days),AVOID,50,177.53,219.38,3.0,42.84,24.55,0.55
STLTECH.NS,176.56,POSITIONAL (>30 days),AVOID,49,157.16,234.75,3.0,53.53,47.51,0.23
NAVINFLUOR.NS,5955.0,POSITIONAL (>30 days),AVOID,48,5606.5,7000.51,3.0,40.61,16.13,0.23
BSE.NS,2704.9,POSITIONAL (>30 days),AVOID,48,2547.57,3176.89,3.0,42.95,11.75,0.4
ASTRAL.NS,1558.7,POSITIONAL (>30 days),AVOID,48,1477.16,1803.33,3.0,42.65,15.13,0.27
TORNTPHARM.NS,4198.2,POSITIONAL (>30 days),AVOID,48,4046.44,4653.48,3.0,44.68,16.14,0.31
GESHIP.NS,1356.0,POSITIONAL (>30 days),AVOID,47,1268.05,1619.86,3.0,49.19,28.51,0.24
NATCOPHARM.NS,935.95,POSITIONAL (>30 days),AVOID,47,878.77,1107.48,3.0,48.38,25.64,0.19
SAIL.NS,146.84,POSITIONAL (>30 days),AVOID,44,137.16,175.89,3.0,41.72,23.01,0.35
ASTERDM.NS,606.5,POSITIONAL (>30 days),AVOID,44,568.06,721.81,3.0,40.01,21.62,0.21
AJANTPHARM.NS,2831.7,POSITIONAL (>30 days),AVOID,42,2675.33,3300.81,3.0,41.4,18.08,0.38
CUMMINSIND.NS,4413.2,POSITIONAL (>30 days),AVOID,42,4160.56,5171.11,3.0,42.6,19.7,0.3
NATIONALUM.NS,351.75,POSITIONAL (>30 days),AVOID,42,325.24,431.27,3.0,42.46,16.63,0.36
JINDALSTEL.NS,1115.0,POSITIONAL (>30 days),AVOID,42,1050.14,1309.59,3.0,42.64,18.6,0.55
INDUSTOWER.NS,417.65,POSITIONAL (>30 days),AVOID,40,396.83,480.11,3.0,37.99,23.64,0.32
