Ticker,Price,Bucket,Decision,Score,Stoploss,Target,RR,RSI,ADX,VolRatio
COALINDIA.NS,453.8,POSITIONAL (>30 days),BUY,79,433.96,513.33,3.0,54.84,24.52,0.32
GRANULES.NS,578.3,POSITIONAL (>30 days),BUY,77,550.28,662.36,3.0,49.85,10.15,0.19
CCL.NS,1065.7,POSITIONAL (>30 days),WATCH,69,1008.35,1237.76,3.0,57.78,16.13,0.31
AUROPHARMA.NS,1274.5,POSITIONAL (>30 days),WATCH,69,1219.1,1440.71,3.0,56.89,13.86,0.32
SUNPHARMA.NS,1762.0,POSITIONAL (>30 days),WATCH,66,1712.16,1911.51,3.0,50.06,20.75,0.19
GLENMARK.NS,2109.8,POSITIONAL (>30 days),WATCH,64,2004.76,2424.91,3.0,49.5,12.63,0.29
LUPIN.NS,2289.2,POSITIONAL (>30 days),WATCH,64,2214.37,2513.7,3.0,51.49,13.46,0.21
POWERGRID.NS,294.5,POSITIONAL (>30 days),WATCH,64,282.76,329.73,3.0,49.29,14.08,0.21
NLCINDIA.NS,254.3,POSITIONAL (>30 days),WATCH,63,237.24,305.47,3.0,47.69,14.63,0.34
ONGC.NS,266.85,POSITIONAL (>30 days),WATCH,61,254.94,302.57,3.0,48.29,25.21,0.4
